Title,Year,Actors,Characters
The Birth of a Nation,1915,"['Henry', 'Lillian', 'Mae', 'Miriam']",
Cleopatra,1917,"['Elizabeth', 'Richard', 'Rex', 'Pamela']",['Cleopatra']
Mickey,1918,"['Mabel', 'George', 'Laura', 'Lew']",['Mickey']
The Miracle Man,1919,"['Lon', 'Betty', 'Joseph', 'J.M.']",
Way Down East,1920,"['Lillian', 'Richard', 'Mrs.', 'Lowell']",
The Four Horsemen of the Apocalypse,1921,"['Pomeroy', 'Josef', 'Bridgetta', 'Rudolph']",
Robin Hood,1922,"['Russell', 'Cate', 'Max', 'William']",['Robin']
The Covered Wagon,1923,"['J.', 'Lois', 'Alan', 'Ernest']",
The Sea Hawk,1924,"['Errol', 'Brenda', 'Claude', 'Donald']",
The Big Parade,1925,"['John', 'Renée', 'Hobart', 'Claire']",
Ben-Hur,1925,"['Charlton', 'Jack', 'Haya', 'Stephen']",['Ben-hur']
For Heaven's Sake,1926,"['Harold', 'Jobyna', 'Noah', 'Jim']",
Wings,1927,"['Clara', 'Charles', 'Richard', 'Jobyna']",
The Singing Fool,1928,"['Al', 'Betty', 'Josephine', 'Arthur']",
The Broadway Melody,1929,"['Charles', 'Anita', 'Bessie']",
Sunny Side Up,1929,"['Egbert', 'Hannah', 'Ko', 'Jason']",
All Quiet on the Western Front,1930,"['Louis', 'Lew', 'John', 'Arnold']",
Frankenstein,1931,"['Colin', 'Mae', 'John', 'Boris']",['Victor']
City Lights,1931,"['Virginia', 'Florence', 'Harry', 'Al']",
The Sign of the Cross,1932,"['Fredric', 'Elissa', 'Claudette', 'Charles']",
King Kong,1933,"['Naomi', 'Jack', 'Adrien', 'Thomas']",
I'm No Angel,1933,"['Mae', 'Cary', 'Gregory', 'Edward']",
Cavalcade,1933,"['Diana', 'Clive', 'Una', 'Herbert']",
She Done Him Wrong,1933,"['Mae', 'Cary', 'Owen', 'Gilbert']",
The Merry Widow,1934,"['Maurice', 'Jeanette', 'Edward', 'Marcel']",
It Happened One Night,1934,"['Clark', 'Claudette', 'Walter', 'Roscoe']",
Mutiny on the Bounty,1935,"['Charles', 'Clark', 'Franchot', 'Herbert']",
San Francisco,1936,"['Clark', 'Jeanette', 'Spencer', 'Jack']",
Snow White and the Seven Dwarfs,1937,"['Roy', 'Stuart', 'Adriana', 'Eddie']",
You Can't Take It With You,1938,"['Jean', 'Lionel', 'James', 'Edward']",
Gone with the Wind,1939,"['Thomas', 'Barbara', 'Vivien', 'Evelyn']",
Pinocchio,1940,"['Jack', 'Mel', 'Billy', 'Don']",
Boom Town,1940,"['Clark', 'Spencer', 'Claudette', 'Hedy']",
Sergeant York,1941,"['Gary', 'Walter', 'Joan', 'George']",
Bambi,1942,"['Hardie', 'Stan', 'Bobette', 'Peter']",['Bambi']
Mrs. Miniver,1942,"['Greer', 'Walter', 'Teresa', 'May']",
For Whom the Bell Tolls,1943,"['Gary', 'Ingrid', 'Akim', 'Arturo']",
This Is the Army,1943,"['George', 'Joan', 'George', 'Alan']",
Going My Way,1944,"['Bing', 'Barry', 'Frank', 'James']",
Mom and Dad,1945,"['Nicolas', 'Selma', 'Anne', 'Zackary']",
The Bells of St. Mary's,1945,"['Bing', 'Ingrid', 'Henry', 'William']",
Song of the South,1946,"['Ruth', 'Bobby', 'James', 'Luana']",
The Best Years of Our Lives,1946,"['Myrna', 'Fredric', 'Dana', 'Teresa']",
Duel in the Sun,1946,"['Jennifer', 'Joseph', 'Gregory', 'Lionel']",
Forever Amber,1947,"['Linda', 'Cornel', 'Richard', 'George']",
Unconquered,1947,"['Gary', 'Paulette', 'Howard', 'Boris']",
Easter Parade,1948,"['Judy', 'Fred', 'Peter', 'Ann']",
The Red Shoes,1948,"['Marius', 'Jean', 'Gordon', 'Julia']",
The Snake Pit,1948,"['Olivia', 'Mark', 'Leo', 'Celeste']",
Samson and Delilah,1949,"['Hedy', 'Victor', 'George', 'Angela']","['Samson', 'Delilah']"
Cinderella,1950,"['Cate', 'Lily', 'Richard', 'Helena']",
King Solomon's Mines,1950,"['Noah', 'Gabrielle', 'Bob', 'Jane']",['Solomon']
Quo Vadis,1951,"['Robert', 'Deborah', 'Leo', 'Peter']",
This Is Cinerama,1952,['Lowell'],
The Greatest Show on Earth,1952,"['Betty', 'Cornel', 'Charlton', 'Dorothy']",
Peter Pan,1953,"['Bobby', 'Kathryn', 'Hans', 'Bill']",['Peter']
The Robe,1953,"['Richard', 'Jean', 'Victor', 'Michael']",
Rear Window,1954,"['James', 'Grace', 'Wendell', 'Thelma']",
White Christmas,1954,"['Bing', 'Danny', 'Rosemary', 'Vera-Ellen']",
"20,000 Leagues Under the Sea",1954,"['Kirk', 'James', 'Paul', 'Peter']",
Lady and the Tramp,1955,"['Peggy', 'Larry', 'Bill', 'Verna']",['Lady']
Cinerama Holiday,1955,"['John', 'Betty', 'Fred', 'Beatrice']",
Mister Roberts,1955,"['Henry', 'James', 'William', 'Jack']",['Robert']
The Ten Commandments,1956,"['Charlton', 'Yul', 'Anne', 'Edward']",
The Bridge on the River Kwai,1957,"['William', 'Alec', 'Jack', 'Sessue']",
South Pacific,1958,"['Rossano', 'Mitzi', 'John', 'Ray']",
Ben-Hur,1959,"['Charlton', 'Jack', 'Haya', 'Stephen']",
Swiss Family Robinson,1960,"['John', 'Dorothy', 'James', 'Janet']",
Spartacus,1960,"['Manu', 'Daniel', 'Peter', 'Lucy']",['Spartacus']
Psycho,1960,"['Anthony', 'Vera', 'John', 'Janet']","['Norman', 'Marion', 'Norma', 'Sam', 'Lia', 'Milton']"
One Hundred and One Dalmatians,1961,"['Rod', 'J.', 'Betty', 'Martha']",
West Side Story,1961,"['Natalie', 'Richard', 'Russ', 'Rita']",
Lawrence of Arabia,1962,"['Peter', 'Alec', 'Anthony', 'Jack']",
How the West Was Won,1962,"['Carroll', 'Lee', 'Henry', 'Carolyn']",
The Longest Day,1962,"['Eddie', 'Paul', 'Arletty', 'Jean-Louis']",
Cleopatra,1963,"['Elizabeth', 'Richard', 'Rex', 'Pamela']",['Cleopatra']
From Russia with Love,1963,"['Sean', 'Daniela', 'Pedro', 'Lotte']",
My Fair Lady,1964,"['Audrey', 'Rex', 'Stanley', 'Wilfrid']",
Goldfinger,1964,"['Sean', 'Gert', 'Honor', 'Shirley']",['James']
Mary Poppins,1964,"['Julie', 'Dick', 'David', 'Glynis']",['Mary']
The Sound of Music,1965,"['Julie', 'Christopher', 'Eleanor', 'Richard']","['Liesl', 'Rolf', 'Gretl', 'Louise', 'Max', 'Kurt']"
The Bible: In the Beginning,1966,"['Michael', 'Ulla', 'Richard', 'John']",
Hawaii,1966,"['Manuel', 'Mateo', 'Luz', 'Antonia']",
Who's Afraid of Virginia Woolf?,1966,"['Elizabeth', 'Richard', 'George', 'Sandy']",['Virginia']
The Jungle Book,1967,"['Neel', 'Bill', 'Ben', 'Idris']","['Mowgli', 'Baloo']"
The Graduate,1967,"['Anne', 'Dustin', 'Katharine', 'William']",
2001: A Space Odyssey,1968,"['Keir', 'Gary', 'William', 'Daniel']",
Funny Girl,1968,"['Barbra', 'Omar', 'Kay', 'Anne']",
Butch Cassidy and the Sundance Kid,1969,"['Paul', 'Robert', 'Katharine', 'Strother']",['Butch']
Love Story,1970,"['Ali', 'Ryan', 'John', 'Ray']",
Airport,1970,"['Burt', 'Dean', 'Jean', 'Jacqueline']",
The French Connection,1971,"['Gene', 'Fernando', 'Roy', 'Tony']",
