Name,Year,Movie
Henry,1915,The Birth of a Nation
Lillian,1915,The Birth of a Nation
Mae,1915,The Birth of a Nation
Miriam,1915,The Birth of a Nation
Elizabeth,1917,Cleopatra
Richard,1917,Cleopatra
Rex,1917,Cleopatra
Pamela,1917,Cleopatra
Cleopatra,1917,Cleopatra
Mabel,1918,Mickey
George,1918,Mickey
Laura,1918,Mickey
Lew,1918,Mickey
Mickey,1918,Mickey
Lon,1919,The Miracle Man
Betty,1919,The Miracle Man
Joseph,1919,The Miracle Man
J.M.,1919,The Miracle Man
Lillian,1920,Way Down East
Richard,1920,Way Down East
Mrs.,1920,Way Down East
Lowell,1920,Way Down East
Pomeroy,1921,The Four Horsemen of the Apocalypse
Josef,1921,The Four Horsemen of the Apocalypse
Bridgetta,1921,The Four Horsemen of the Apocalypse
Rudolph,1921,The Four Horsemen of the Apocalypse
Russell,1922,Robin Hood
Cate,1922,Robin Hood
Max,1922,Robin Hood
William,1922,Robin Hood
Robin,1922,Robin Hood
J.,1923,The Covered Wagon
Lois,1923,The Covered Wagon
Alan,1923,The Covered Wagon
Ernest,1923,The Covered Wagon
Errol,1924,The Sea Hawk
Brenda,1924,The Sea Hawk
Claude,1924,The Sea Hawk
Donald,1924,The Sea Hawk
John,1925,The Big Parade
Ren̩e,1925,The Big Parade
Hobart,1925,The Big Parade
Claire,1925,The Big Parade
Charlton,1925,Ben-Hur
Jack,1925,Ben-Hur
Haya,1925,Ben-Hur
Stephen,1925,Ben-Hur
Ben-hur,1925,Ben-Hur
Harold,1926,For Heaven's Sake
Jobyna,1926,For Heaven's Sake
Noah,1926,For Heaven's Sake
Jim,1926,For Heaven's Sake
Clara,1927,Wings
Charles,1927,Wings
Richard,1927,Wings
Jobyna,1927,Wings
Al,1928,The Singing Fool
Betty,1928,The Singing Fool
Josephine,1928,The Singing Fool
Arthur,1928,The Singing Fool
Charles,1929,The Broadway Melody
Anita,1929,The Broadway Melody
Bessie,1929,The Broadway Melody
Egbert,1929,Sunny Side Up
Hannah,1929,Sunny Side Up
Ko,1929,Sunny Side Up
Jason,1929,Sunny Side Up
Louis,1930,All Quiet on the Western Front
Lew,1930,All Quiet on the Western Front
John,1930,All Quiet on the Western Front
Arnold,1930,All Quiet on the Western Front
Colin,1931,Frankenstein
Mae,1931,Frankenstein
John,1931,Frankenstein
Boris,1931,Frankenstein
Victor,1931,Frankenstein
Virginia,1931,City Lights
Florence,1931,City Lights
Harry,1931,City Lights
Al,1931,City Lights
Fredric,1932,The Sign of the Cross
Elissa,1932,The Sign of the Cross
Claudette,1932,The Sign of the Cross
Charles,1932,The Sign of the Cross
Naomi,1933,King Kong
Jack,1933,King Kong
Adrien,1933,King Kong
Thomas,1933,King Kong
Mae,1933,I'm No Angel
Cary,1933,I'm No Angel
Gregory,1933,I'm No Angel
Edward,1933,I'm No Angel
Diana,1933,Cavalcade
Clive,1933,Cavalcade
Una,1933,Cavalcade
Herbert,1933,Cavalcade
Mae,1933,She Done Him Wrong
Cary,1933,She Done Him Wrong
Owen,1933,She Done Him Wrong
Gilbert,1933,She Done Him Wrong
Maurice,1934,The Merry Widow
Jeanette,1934,The Merry Widow
Edward,1934,The Merry Widow
Marcel,1934,The Merry Widow
Clark,1934,It Happened One Night
Claudette,1934,It Happened One Night
Walter,1934,It Happened One Night
Roscoe,1934,It Happened One Night
Charles,1935,Mutiny on the Bounty
Clark,1935,Mutiny on the Bounty
Franchot,1935,Mutiny on the Bounty
Herbert,1935,Mutiny on the Bounty
Clark,1936,San Francisco
Jeanette,1936,San Francisco
Spencer,1936,San Francisco
Jack,1936,San Francisco
Roy,1937,Snow White and the Seven Dwarfs
Stuart,1937,Snow White and the Seven Dwarfs
Adriana,1937,Snow White and the Seven Dwarfs
Eddie,1937,Snow White and the Seven Dwarfs
Jean,1938,You Can't Take It With You
Lionel,1938,You Can't Take It With You
James,1938,You Can't Take It With You
Edward,1938,You Can't Take It With You
Thomas,1939,Gone with the Wind
Barbara,1939,Gone with the Wind
Vivien,1939,Gone with the Wind
Evelyn,1939,Gone with the Wind
Jack,1940,Pinocchio
Mel,1940,Pinocchio
Billy,1940,Pinocchio
Don,1940,Pinocchio
Clark,1940,Boom Town
Spencer,1940,Boom Town
Claudette,1940,Boom Town
Hedy,1940,Boom Town
Gary,1941,Sergeant York
Walter,1941,Sergeant York
Joan,1941,Sergeant York
George,1941,Sergeant York
Hardie,1942,Bambi
Stan,1942,Bambi
Bobette,1942,Bambi
Peter,1942,Bambi
Bambi,1942,Bambi
Greer,1942,Mrs. Miniver
Walter,1942,Mrs. Miniver
Teresa,1942,Mrs. Miniver
May,1942,Mrs. Miniver
Gary,1943,For Whom the Bell Tolls
Ingrid,1943,For Whom the Bell Tolls
Akim,1943,For Whom the Bell Tolls
Arturo,1943,For Whom the Bell Tolls
George,1943,This Is the Army
Joan,1943,This Is the Army
George,1943,This Is the Army
Alan,1943,This Is the Army
Bing,1944,Going My Way
Barry,1944,Going My Way
Frank,1944,Going My Way
James,1944,Going My Way
Nicolas,1945,Mom and Dad
Selma,1945,Mom and Dad
Anne,1945,Mom and Dad
Zackary,1945,Mom and Dad
Bing,1945,The Bells of St. Mary's
Ingrid,1945,The Bells of St. Mary's
Henry,1945,The Bells of St. Mary's
William,1945,The Bells of St. Mary's
Ruth,1946,Song of the South
Bobby,1946,Song of the South
James,1946,Song of the South
Luana,1946,Song of the South
Myrna,1946,The Best Years of Our Lives
Fredric,1946,The Best Years of Our Lives
Dana,1946,The Best Years of Our Lives
Teresa,1946,The Best Years of Our Lives
Jennifer,1946,Duel in the Sun
Joseph,1946,Duel in the Sun
Gregory,1946,Duel in the Sun
Lionel,1946,Duel in the Sun
Linda,1947,Forever Amber
Cornel,1947,Forever Amber
Richard,1947,Forever Amber
George,1947,Forever Amber
Gary,1947,Unconquered
Paulette,1947,Unconquered
Howard,1947,Unconquered
Boris,1947,Unconquered
Judy,1948,Easter Parade
Fred,1948,Easter Parade
Peter,1948,Easter Parade
Ann,1948,Easter Parade
Marius,1948,The Red Shoes
Jean,1948,The Red Shoes
Gordon,1948,The Red Shoes
Julia,1948,The Red Shoes
Olivia,1948,The Snake Pit
Mark,1948,The Snake Pit
Leo,1948,The Snake Pit
Celeste,1948,The Snake Pit
Hedy,1949,Samson and Delilah
Victor,1949,Samson and Delilah
George,1949,Samson and Delilah
Angela,1949,Samson and Delilah
Samson,1949,Samson and Delilah
Delilah,1949,Samson and Delilah
Cate,1950,Cinderella
Lily,1950,Cinderella
Richard,1950,Cinderella
Helena,1950,Cinderella
Noah,1950,King Solomon's Mines
Gabrielle,1950,King Solomon's Mines
Bob,1950,King Solomon's Mines
Jane,1950,King Solomon's Mines
Solomon,1950,King Solomon's Mines
Robert,1951,Quo Vadis
Deborah,1951,Quo Vadis
Leo,1951,Quo Vadis
Peter,1951,Quo Vadis
Lowell,1952,This Is Cinerama
Betty,1952,The Greatest Show on Earth
Cornel,1952,The Greatest Show on Earth
Charlton,1952,The Greatest Show on Earth
Dorothy,1952,The Greatest Show on Earth
Bobby,1953,Peter Pan
Kathryn,1953,Peter Pan
Hans,1953,Peter Pan
Bill,1953,Peter Pan
Peter,1953,Peter Pan
Richard,1953,The Robe
Jean,1953,The Robe
Victor,1953,The Robe
Michael,1953,The Robe
James,1954,Rear Window
Grace,1954,Rear Window
Wendell,1954,Rear Window
Thelma,1954,Rear Window
Bing,1954,White Christmas
Danny,1954,White Christmas
Rosemary,1954,White Christmas
Vera-Ellen,1954,White Christmas
Kirk,1954,"20,000 Leagues Under the Sea"
James,1954,"20,000 Leagues Under the Sea"
Paul,1954,"20,000 Leagues Under the Sea"
Peter,1954,"20,000 Leagues Under the Sea"
Peggy,1955,Lady and the Tramp
Larry,1955,Lady and the Tramp
Bill,1955,Lady and the Tramp
Verna,1955,Lady and the Tramp
Lady,1955,Lady and the Tramp
John,1955,Cinerama Holiday
Betty,1955,Cinerama Holiday
Fred,1955,Cinerama Holiday
Beatrice,1955,Cinerama Holiday
Henry,1955,Mister Roberts
James,1955,Mister Roberts
William,1955,Mister Roberts
Jack,1955,Mister Roberts
Robert,1955,Mister Roberts
Charlton,1956,The Ten Commandments
