,Name,Gender,Year,CountOfNames,Percent_Change
1294074,Ashanti,F,2003,962.0,-67.33446519524617
1988081,Bret,M,1983,503.0,-54.189435336976324
2411919,Caylee,F,2010,569.0,-54.2604501607717
5464203,Hillary,F,1993,1064.0,-57.794525981753274
5573734,Iesha,F,1992,581.0,-69.35654008438819
7342213,Katina,F,1974,765.0,-69.0784155214228
9392166,Marian,F,1955,1499.0,-62.64639920259158
9501311,Marquita,F,1985,535.0,-61.06259097525473
12479259,Shania,F,1997,861.0,-53.07901907356949
14580306,Woodrow,M,1920,774.0,-57.19026548672566
