Title,First Name,Date
Perfect,Ed,2017-12-30
Rockstar,Post,2017-12-09
Bodak Yellow (Money Moves),Cardi,2017-10-14
Look What You Made Me Do,Taylor,2017-09-23
Despacito,Luis,2017-09-02
I'm The One,DJ,2017-05-13
That's What I Like,Bruno,2017-05-06
Humble.,Kendrick,2017-04-29
Shape Of You,Ed,2017-04-22
Bad And Boujee,Migos,2017-02-04
Black Beatles,Rae,2017-01-07
Starboy,The,2016-12-31
Closer,The,2016-11-12
Cheap Thrills,Sia,2016-08-20
One Dance,Drake,2016-07-23
Can't Stop The Feeling!,Justin,2016-05-21
Panda,Desiigner,2016-05-07
Work,Rihanna,2016-04-23
Love Yourself,Justin,2016-02-20
Pillowtalk,Zayn,2016-02-13
Sorry,Justin,2016-01-30
Hello,Adele,2016-01-09
The Hills,The,2015-10-31
Can't Feel My Face,The,2015-09-19
What Do You Mean?,Justin,2015-09-12
Cheerleader,OMI,2015-08-29
See You Again,Wiz,2015-07-11
Bad Blood,Taylor,2015-05-30
Uptown Funk!,Mark,2015-04-11
Blank Space,Taylor,2015-01-03
Shake It Off,Taylor,2014-11-15
All About That Bass,Meghan,2014-11-01
Rude,MAGIC!,2014-08-23
Fancy,Iggy,2014-07-12
All Of Me,John,2014-05-24
Happy,Pharrell,2014-05-03
Dark Horse,Katy,2014-02-22
Timber,Pitbull,2014-01-25
The Monster,Eminem,2014-01-04
Wrecking Ball,Miley,2013-12-07
Royals,Lorde,2013-11-30
Roar,Katy,2013-09-14
Blurred Lines,Robin,2013-08-31
Can't Hold Us,Macklemore,2013-06-08
Just Give Me A Reason,P!nk,2013-05-04
When I Was Your Man,Bruno,2013-04-13
Thrift Shop,Macklemore,2013-04-06
Harlem Shake,Baauer,2013-03-23
Locked Out Of Heaven,Bruno,2013-01-19
Diamonds,Rihanna,2012-12-08
One More Night,Maroon,2012-11-17
We Are Never Ever Getting Back Together,Taylor,2012-09-15
Whistle,Flo,2012-09-08
Call Me Maybe,Carly,2012-08-11
Somebody That I Used To Know,Gotye,2012-06-09
We Are Young,fun.,2012-04-14
Stronger (What Doesn't Kill You),Kelly,2012-03-03
Part Of Me,Katy,2012-02-25
Set Fire To The Rain,Adele,2012-02-04
We Found Love,Rihanna,2012-01-21
Sexy And I Know It,LMFAO,2012-01-07
Someone Like You,Adele,2011-10-29
Moves Like Jagger,Maroon,2011-10-01
Last Friday Night (T.G.I.F.),Katy,2011-08-27
Party Rock Anthem,LMFAO,2011-08-13
Give Me Everything,Pitbull,2011-07-02
Rolling In The Deep,Adele,2011-06-25
E.T.,Katy,2011-05-07
S&M,Rihanna,2011-04-23
Born This Way,Lady,2011-03-26
Black And Yellow,Wiz,2011-02-12
Grenade,Bruno,2011-02-05
Hold It Against Me,Britney,2011-01-22
Firework,Katy,2011-01-08
Raise Your Glass,P!nk,2010-12-04
Only Girl (In The World),Rihanna,2010-11-27
Like A G6,Far*East,2010-11-20
What's My Name?,Rihanna,2010-11-13
We R Who We R,Ke$ha,2010-11-06
Just The Way You Are,Bruno,2010-10-16
Teenage Dream,Katy,2010-09-18
Love The Way You Lie,Eminem,2010-09-04
California Gurls,Katy,2010-07-17
OMG,Usher,2010-06-05
Not Afraid,Eminem,2010-05-15
Nothin' On You,B.o.B,2010-05-01
Rude Boy,Rihanna,2010-04-17
Break Your Heart,Taio,2010-03-13
Imma Be,The,2010-03-06
TiK ToK,Ke$ha,2010-02-20
Empire State Of Mind,Jay-Z,2009-12-19
Fireflies,Owl,2009-11-14
Whatcha Say,Jason,2009-11-07
Down,Jay,2009-10-24
3,Britney,2009-10-17
I Gotta Feeling,The,2009-10-03
Boom Boom Pow,The,2009-06-27
Poker Face,Lady,2009-04-04
Right Round,Flo,2009-03-28
Crack A Bottle,"Eminem,",2009-02-14
My Life Would Suck Without You,Kelly,2009-02-07
Just Dance,Lady,2009-01-24
Single Ladies (Put A Ring On It),Beyonce,2009-01-03
Live Your Life,T.I.,2008-12-13
Whatever You Like,T.I.,2008-11-01
Womanizer,Britney,2008-10-18
So What,P!nk,2008-09-20
Disturbia,Rihanna,2008-08-23
I Kissed A Girl,Katy,2008-08-09
Viva La Vida,Coldplay,2008-06-21
Lollipop,Lil,2008-06-14
Take A Bow,Rihanna,2008-05-17
Bleeding Love,Leona,2008-05-10
Touch My Body,Mariah,2008-04-12
Love In This Club,Usher,2008-03-22
Low,Flo,2008-03-01
No One,Alicia,2007-12-22
Kiss Kiss,Chris,2007-11-17
Crank That (Soulja Boy),Soulja,2007-10-27
Stronger,Kanye,2007-09-22
Big Girls Don't Cry,Fergie,2007-09-01
Beautiful Girls,Sean,2007-08-25
Hey There Delilah,Plain,2007-07-28
Umbrella,Rihanna,2007-07-14
Makes Me Wonder,Maroon,2007-05-26
Buy U A Drank (Shawty Snappin'),T-Pain,2007-05-19
Girlfriend,Avril,2007-04-28
Give It To Me,Timbaland,2007-04-21
Don't Matter,Akon,2007-04-07
Glamorous,Fergie,2007-03-24
This Is Why I'm Hot,Mims,2007-03-10
What Goes Around...Comes Around,Justin,2007-02-24
Say It Right,Nelly,2007-02-17
Irreplaceable,Beyonce,2007-02-10
I Wanna Love You,Akon,2006-12-02
My Love,Justin,2006-11-18
Money Maker,Ludacris,2006-10-28
SexyBack,Justin,2006-10-14
London Bridge,Fergie,2006-08-26
Promiscuous,Nelly,2006-08-05
Do I Make You Proud,Taylor,2006-06-24
Hips Don't Lie,Shakira,2006-06-17
Ridin',Chamillionaire,2006-06-03
SOS,Rihanna,2006-05-20
Bad Day,Daniel,2006-04-29
Temperature,Sean,2006-03-25
So Sick,Ne-Yo,2006-03-18
You're Beautiful,James,2006-03-04
Check On It,Beyonce,2006-02-25
Grillz,Nelly,2006-01-21
Laffy Taffy,D4L,2006-01-07
Don't Forget About Us,Mariah,2005-12-31
Run It!,Chris,2005-12-17
Gold Digger,Kanye,2005-11-12
We Belong Together,Mariah,2005-09-03
Inside Your Heaven,Carrie,2005-06-25
Hollaback Girl,Gwen,2005-05-21
Candy Shop,50,2005-04-23
Let Me Love You,Mario,2005-02-19
Drop It Like It's Hot,Snoop,2004-12-18
My Boo,Usher,2004-11-27
Goodies,Ciara,2004-10-16
Lean Back,Terror,2004-08-28
Slow Motion,Juvenile,2004-08-07
Confessions Part II,Usher,2004-07-24
Burn,Usher,2004-07-10
I Believe,Fantasia,2004-07-03
Yeah!,Usher,2004-05-08
Slow Jamz,Twista,2004-02-14
The Way You Move,OutKast,2004-02-07
Hey Ya!,OutKast,2004-01-31
Stand Up,Ludacris,2003-11-29
Baby Boy,Beyonce,2003-11-22
Shake Ya Tailfeather,"Nelly,",2003-09-20
Crazy In Love,Beyonce,2003-08-23
This Is The Night,Clay,2003-06-28
21 Questions,50,2003-06-14
Get Busy,Sean,2003-05-17
In Da Club,50,2003-04-26
All I Have,Jennifer,2003-02-22
"Bump, Bump, Bump",B2K,2003-01-25
Lose Yourself,Eminem,2003-01-18
Dilemma,Nelly,2002-10-26
A Moment Like This,Kelly,2002-10-05
Hot In Herre,Nelly,2002-08-03
Foolish,Ashanti,2002-06-15
Ain't It Funny,Jennifer,2002-04-06
Always On Time,Ja,2002-02-23
U Got It Bad,Usher,2002-02-09
How You Remind Me,Nickelback,2002-01-05
Family Affair,Mary,2001-12-01
I'm Real,Jennifer,2001-10-20
Fallin',Alicia,2001-10-06
Bootylicious,Destiny's,2001-08-04
U Remind Me,Usher,2001-07-21
Lady Marmalade,Christina,2001-06-23
All For You,Janet,2001-05-19
Butterfly,Crazy,2001-03-31
Angel,Shaggy,2001-03-24
Stutter,Joe,2001-03-10
Ms. Jackson,OutKast,2001-02-10
It Wasn't Me,Shaggy,2001-02-03
Independent Women Part I,Destiny's,2001-01-20
With Arms Wide Open,Creed,2000-11-04
Come On Over Baby (All I Want Is You),Christina,2000-10-28
Music,Madonna,2000-09-30
Doesn't Really Matter,Janet,2000-09-02
Incomplete,Sisqo,2000-08-12
It's Gonna Be Me,'N,2000-07-29
Bent,matchbox,2000-07-15
Everything You Want,Vertical,2000-07-08
Be With You,Enrique,2000-07-01
Try Again,Aaliyah,2000-06-10
Maria Maria,Santana,2000-06-03
Say My Name,Destiny's,2000-03-25
Amazed,Lonestar,2000-03-04
I Knew I Loved You,Savage,2000-02-19
Thank God I Found You,Mariah,2000-02-12
What A Girl Wants,Christina,2000-01-15
Smooth,Santana,2000-01-01
Heartbreaker,Mariah,1999-10-09
Unpretty,TLC,1999-09-25
Bailamos,Enrique,1999-09-04
Genie In A Bottle,Christina,1999-08-21
Wild Wild West,Will,1999-07-17
"Bills, Bills, Bills",Destiny's,1999-07-10
If You Had My Love,Jennifer,1999-07-03
Livin' La Vida Loca,Ricky,1999-05-29
No Scrubs,TLC,1999-04-24
Believe,Cher,1999-03-27
Angel Of Mine,Monica,1999-02-27
...Baby One More Time,Britney,1999-01-30
Have You Ever?,Brandy,1999-01-16
I'm Your Angel,R.,1999-01-02
Lately,Divine,1998-11-21
Doo Wop (That Thing),Lauryn,1998-11-14
The First Night,Monica,1998-10-31
One Week,Barenaked,1998-10-10
I Don't Want To Miss A Thing,Aerosmith,1998-09-19
The Boy Is Mine,Brandy,1998-08-22
Too Close,Next,1998-05-23
My All,Mariah,1998-05-16
All My Life,K-Ci,1998-04-11
Gettin' Jiggy Wit It,Will,1998-03-21
My Heart Will Go On,Celine,1998-02-28
Nice & Slow,Usher,1998-02-14
Together Again,Janet,1998-01-31
Truly Madly Deeply,Savage,1998-01-17
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton,1998-01-03
4 Seasons Of Loneliness,Boyz,1997-09-27
Honey,Mariah,1997-09-20
Mo Money Mo Problems,The,1997-08-30
I'll Be Missing You,Puff,1997-08-16
MMMBop,Hanson,1997-05-31
Hypnotize,The,1997-05-10
Can't Nobody Hold Me Down,Puff,1997-04-19
Wannabe,Spice,1997-03-08
Un-Break My Heart,Toni,1997-02-08
No Diggity,BLACKstreet,1996-11-23
Macarena (Bayside Boys Mix),Los,1996-10-26
You're Makin' Me High/Let It Flow,Toni,1996-07-20
How Do U Want It/California Love,2Pac,1996-07-13
Tha Crossroads,Bone,1996-06-29
Always Be My Baby,Mariah,1996-05-04
"Because You Loved Me (From ""Up Close & Personal"")",Celine,1996-04-20
One Sweet Day,Mariah,1996-03-09
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney,1995-11-18
Fantasy,Mariah,1995-11-11
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,1995-09-16
You Are Not Alone,Michael,1995-08-26
Kiss From A Rose,Seal,1995-08-19
Waterfalls,TLC,1995-08-12
Have You Ever Really Loved A Woman?,Bryan,1995-06-24
This Is How We Do It,Montell,1995-05-20
Creep,TLC,1995-02-11
On Bended Knee,Boyz,1995-01-14
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini,1994-12-17
I'll Make Love To You,Boyz,1994-11-19
"Stay (I Missed You) (From ""Reality Bites"")",Lisa,1994-08-13
I Swear,All-4-One,1994-07-23
The Sign,Ace,1994-05-07
Bump N' Grind,R.,1994-04-23
The Power Of Love,Celine,1994-02-26
All For Love,Bryan,1994-01-29
Hero,Mariah,1994-01-08
Again,Janet,1993-12-11
I'd Do Anything For Love (But I Won't Do That),Meat,1993-11-27
Dreamlover,Mariah,1993-10-23
"Can't Help Falling In Love (From ""Sliver"")",UB40,1993-08-28
Weak,SWV,1993-07-10
That's The Way Love Goes,Janet,1993-06-26
Freak Me,Silk,1993-05-01
Informer,Snow,1993-04-17
A Whole New World (Aladdin's Theme),Peabo,1993-02-27
I Will Always Love You,Whitney,1993-02-20
How Do You Talk To An Angel,The,1992-11-14
"End Of The Road (From ""Boomerang"")",Boyz,1992-10-31
This Used To Be My Playground,Madonna,1992-08-01
Baby Got Back,Sir,1992-07-25
