Title,Artist,First Name,Date
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Lil,6/29/2019
7 Rings,Ariana Grande,Ariana,3/30/2019
Sucker,Jonas Brothers,Jonas,3/9/2019
Shallow,Lady Gaga & Bradley Cooper,Lady,3/2/2019
Without Me,Halsey,Halsey,1/19/2019
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Post,1/12/2019
"Thank U, Next",Ariana Grande,Ariana,12/29/2018
Sicko Mode,Travis Scott,Travis,12/1/2018
Girls Like You,Maroon 5 Featuring Cardi B,Maroon,11/3/2018
In My Feelings,Drake,Drake,9/15/2018
Nice For What,Drake,Drake,7/7/2018
I Like It,"Cardi B, Bad Bunny & J Balvin",Cardi,6/30/2018
Sad!,XXXTENTACION,XXXTENTACION,6/23/2018
Psycho,Post Malone Featuring Ty Dolla $ign,Post,6/9/2018
This Is America,Childish Gambino,Childish,5/19/2018
God's Plan,Drake,Drake,4/7/2018
Havana,Camila Cabello Featuring Young Thug,Camila,1/20/2018
Perfect,Ed Sheeran,Ed,1/13/2018
Rockstar,Post Malone Featuring 21 Savage,Post,12/9/2017
Bodak Yellow (Money Moves),Cardi B,Cardi,10/14/2017
Look What You Made Me Do,Taylor Swift,Taylor,9/23/2017
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Luis,9/2/2017
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",DJ,5/13/2017
That's What I Like,Bruno Mars,Bruno,5/6/2017
Humble.,Kendrick Lamar,Kendrick,4/29/2017
Shape Of You,Ed Sheeran,Ed,4/22/2017
Bad And Boujee,Migos Featuring Lil Uzi Vert,Migos,2/4/2017
Black Beatles,Rae Sremmurd Featuring Gucci Mane,Rae,1/7/2017
Starboy,The Weeknd Featuring Daft Punk,The,12/31/2016
Closer,The Chainsmokers Featuring Halsey,The,11/12/2016
Cheap Thrills,Sia Featuring Sean Paul,Sia,8/20/2016
One Dance,Drake Featuring WizKid & Kyla,Drake,7/23/2016
Can't Stop The Feeling!,Justin Timberlake,Justin,5/21/2016
Panda,Desiigner,Desiigner,5/7/2016
Work,Rihanna Featuring Drake,Rihanna,4/23/2016
Love Yourself,Justin Bieber,Justin,2/20/2016
Pillowtalk,Zayn,Zayn,2/13/2016
Sorry,Justin Bieber,Justin,1/30/2016
Hello,Adele,Adele,1/9/2016
The Hills,The Weeknd,The,10/31/2015
Can't Feel My Face,The Weeknd,The,9/19/2015
What Do You Mean?,Justin Bieber,Justin,9/12/2015
Cheerleader,OMI,OMI,8/29/2015
See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz,7/11/2015
Bad Blood,Taylor Swift Featuring Kendrick Lamar,Taylor,5/30/2015
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark,4/11/2015
Blank Space,Taylor Swift,Taylor,1/3/2015
Shake It Off,Taylor Swift,Taylor,11/15/2014
