Title,Artist,First Name,Date
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Lil,2019-06-29
7 Rings,Ariana Grande,Ariana,2019-03-30
Sucker,Jonas Brothers,Jonas,2019-03-09
Shallow,Lady Gaga & Bradley Cooper,Lady,2019-03-02
Without Me,Halsey,Halsey,2019-01-19
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Post,2019-01-12
"Thank U, Next",Ariana Grande,Ariana,2018-12-29
Sicko Mode,Travis Scott,Travis,2018-12-01
Girls Like You,Maroon 5 Featuring Cardi B,Maroon,2018-11-03
In My Feelings,Drake,Drake,2018-09-15
Nice For What,Drake,Drake,2018-07-07
I Like It,"Cardi B, Bad Bunny & J Balvin",Cardi,2018-06-30
Sad!,XXXTENTACION,XXXTENTACION,2018-06-23
Psycho,Post Malone Featuring Ty Dolla $ign,Post,2018-06-09
This Is America,Childish Gambino,Childish,2018-05-19
God's Plan,Drake,Drake,2018-04-07
Havana,Camila Cabello Featuring Young Thug,Camila,2018-01-20
Perfect,Ed Sheeran,Ed,2018-01-13
Rockstar,Post Malone Featuring 21 Savage,Post,2017-12-09
Bodak Yellow (Money Moves),Cardi B,Cardi,2017-10-14
Look What You Made Me Do,Taylor Swift,Taylor,2017-09-23
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Luis,2017-09-02
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",DJ,2017-05-13
That's What I Like,Bruno Mars,Bruno,2017-05-06
Humble.,Kendrick Lamar,Kendrick,2017-04-29
Shape Of You,Ed Sheeran,Ed,2017-04-22
Bad And Boujee,Migos Featuring Lil Uzi Vert,Migos,2017-02-04
Black Beatles,Rae Sremmurd Featuring Gucci Mane,Rae,2017-01-07
Starboy,The Weeknd Featuring Daft Punk,The,2016-12-31
Closer,The Chainsmokers Featuring Halsey,The,2016-11-12
Cheap Thrills,Sia Featuring Sean Paul,Sia,2016-08-20
One Dance,Drake Featuring WizKid & Kyla,Drake,2016-07-23
Can't Stop The Feeling!,Justin Timberlake,Justin,2016-05-21
Panda,Desiigner,Desiigner,2016-05-07
Work,Rihanna Featuring Drake,Rihanna,2016-04-23
Love Yourself,Justin Bieber,Justin,2016-02-20
Pillowtalk,Zayn,Zayn,2016-02-13
Sorry,Justin Bieber,Justin,2016-01-30
Hello,Adele,Adele,2016-01-09
The Hills,The Weeknd,The,2015-10-31
Can't Feel My Face,The Weeknd,The,2015-09-19
What Do You Mean?,Justin Bieber,Justin,2015-09-12
Cheerleader,OMI,OMI,2015-08-29
See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz,2015-07-11
Bad Blood,Taylor Swift Featuring Kendrick Lamar,Taylor,2015-05-30
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark,2015-04-11
Blank Space,Taylor Swift,Taylor,2015-01-03
Shake It Off,Taylor Swift,Taylor,2014-11-15
All About That Bass,Meghan Trainor,Meghan,2014-11-01
Rude,MAGIC!,MAGIC!,2014-08-23
Fancy,Iggy Azalea Featuring Charli XCX,Iggy,2014-07-12
All Of Me,John Legend,John,2014-05-24
Happy,Pharrell Williams,Pharrell,2014-05-03
Dark Horse,Katy Perry Featuring Juicy J,Katy,2014-02-22
Timber,Pitbull Featuring Ke$ha,Pitbull,2014-01-25
The Monster,Eminem Featuring Rihanna,Eminem,2014-01-04
Wrecking Ball,Miley Cyrus,Miley,2013-12-07
Royals,Lorde,Lorde,2013-11-30
Roar,Katy Perry,Katy,2013-09-14
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Robin,2013-08-31
